INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,BFUTILITIE,30-Aug-2012,0,XX,402,414.35,390.5,410.85,410.85,1321,5333.26,944000,32000,31-JUL-2012,
FUTSTK,BFUTILITIE,27-Sep-2012,0,XX,0,0,0,401,413.55,0,0,2000,0,31-JUL-2012,
FUTSTK,BGRENERGY,30-Aug-2012,0,XX,282.6,283.5,274.5,280.85,280.85,1051,2933.18,1259000,13000,31-JUL-2012,
FUTSTK,BGRENERGY,27-Sep-2012,0,XX,279.5,279.5,274,277.85,277.85,6,16.62,44000,6000,31-JUL-2012,
FUTSTK,BHARATFORG,30-Aug-2012,0,XX,298,302.95,294,301.85,301.85,247,738.51,1560000,-44000,31-JUL-2012,
FUTSTK,BHARATFORG,27-Sep-2012,0,XX,298.5,298.5,298.5,298.5,304.7,1,2.98,1000,1000,31-JUL-2012,
FUTSTK,BHARATFORG,25-Oct-2012,0,XX,0,0,0,294.15,306.9,0,0,0,0,31-JUL-2012,
FUTSTK,BHARTIARTL,30-Aug-2012,0,XX,310.95,311.45,300.3,301.35,301.35,6147,18615.59,10973000,1264000,31-JUL-2012,
FUTSTK,BHARTIARTL,27-Sep-2012,0,XX,310.25,310.25,302.5,303.1,303.1,331,1006.39,252000,149000,31-JUL-2012,
FUTSTK,BHARTIARTL,25-Oct-2012,0,XX,305,305,305,305,306.65,1,3.05,1000,1000,31-JUL-2012,
FUTSTK,BHEL,30-Aug-2012,0,XX,218.8,218.8,212,216.4,216.4,5183,11148.86,17803000,-273000,31-JUL-2012,
FUTSTK,BHEL,27-Sep-2012,0,XX,215.6,215.6,209.4,213.7,213.7,447,949.3,1328000,74000,31-JUL-2012,
FUTSTK,BHEL,25-Oct-2012,0,XX,215.05,215.05,214.85,214.95,214.95,4,8.59,22000,4000,31-JUL-2012,
FUTSTK,BHUSANSTL,30-Aug-2012,0,XX,472,472.05,466.9,470.3,470.3,76,357.62,332000,5000,31-JUL-2012,
FUTSTK,BHUSANSTL,27-Sep-2012,0,XX,0,0,0,469.45,480.95,0,0,1000,0,31-JUL-2012,
FUTSTK,BHUSANSTL,25-Oct-2012,0,XX,0,0,0,478.35,484.35,0,0,0,0,31-JUL-2012,
